Words,DistinctStems
1336000,23007
1337000,23009
1338000,23013
1339000,23018
1340000,23031
1341000,23036
1342000,23045
1343000,23048
1344000,23051
1345000,23055
1346000,23058
1347000,23060
1348000,23067
1349000,23073
1350000,23082
1351000,23087
1352000,23094
1353000,23098
1354000,23101
1355000,23106
1356000,23108
1357000,23122
1358000,23125
1359000,23130
1360000,23136
1361000,23139
1362000,23141
1363000,23147
1364000,23155
1365000,23159
1366000,23162
1367000,23165
1368000,23172
1369000,23175
1370000,23188
1371000,23189
1372000,23192
1373000,23199
1374000,23205
1375000,23214
1376000,23215
1377000,23221
1378000,23227
1379000,23234
1380000,23240
1381000,23243
1382000,23245
1383000,23252
1384000,23259
1385000,23266
1386000,23274
1387000,23282
1388000,23288
1389000,23291
1390000,23298
1391000,23303
1392000,23306
1393000,23310
1394000,23314
1395000,23317
1396000,23326
1397000,23329
1398000,23336
1399000,23340
1400000,23344
1401000,23351
1402000,23357
1403000,23365
1404000,23371
1405000,23378
1406000,23379
1407000,23379
1408000,23383
1409000,23389
1410000,23392
1411000,23395
1412000,23402
1413000,23409
1414000,23415
1415000,23418
1416000,23424
1417000,23429
1418000,23437
1419000,23445
1420000,23450
1421000,23459
1422000,23465
1423000,23468
1424000,23476
1425000,23479
1426000,23494
1427000,23497
1428000,23502
1429000,23506
1430000,23514
1431000,23516
1432000,23524
1433000,23526
1434000,23533
1435000,23538
1436000,23541
1437000,23546
1438000,23556
1439000,23559
1440000,23563
1441000,23569
1442000,23575
1443000,23576
1444000,23579
1445000,23585
1446000,23590
1447000,23595
1448000,23598
1449000,23600
1450000,23603
1451000,23610
1452000,23615
1453000,23621
1454000,23622
1455000,23628
1456000,23634
1457000,23639
1458000,23649
1459000,23652
1460000,23662
1461000,23671
1462000,23676
1463000,23684
1464000,23686
1465000,23687
1466000,23693
1467000,23696
1468000,23701
1469000,23701
1470000,23703
1471000,23706
1472000,23710
1473000,23713
1474000,23717
1475000,23727
1476000,23734
1477000,23743
1478000,23746
1479000,23753
1480000,23759
1481000,23763
1482000,23766
1483000,23772
1484000,23777
1485000,23780
1486000,23783
1487000,23785
1488000,23790
1489000,23794
1490000,23796
1491000,23800
1492000,23807
1493000,23810
1494000,23816
1495000,23822
1496000,23827
1497000,23834
1498000,23836
1499000,23836
1500000,23842
1501000,23846
1502000,23849
1503000,23856
1504000,23863
1505000,23866
1506000,23873
1507000,23876
1508000,23883
1509000,23884
1510000,23887
1511000,23891
1512000,23895
1513000,23898
1514000,23901
1515000,23904
1516000,23908
1517000,23911
1518000,23914
1519000,23918
1520000,23921
1521000,23928
1522000,23933
1523000,23939
1524000,23942
1525000,23943
1526000,23949
1527000,23955
1528000,23958
1529000,23963
1530000,23972
1531000,23974
1532000,23982
1533000,23990
1534000,23993
1535000,23998
1536000,24002
1537000,24005
1538000,24013
1539000,24014
1540000,24019
1541000,24022
1542000,24024
1543000,24036
1544000,24037
1545000,24042
1546000,24046
1547000,24053
1548000,24056
1549000,24069
1550000,24076
1551000,24082
1552000,24089
1553000,24090
1554000,24093
1555000,24099
1556000,24107
1557000,24110
1558000,24116
1559000,24124
1560000,24130
1561000,24141
1562000,24146
1563000,24155
1564000,24161
1565000,24165
1566000,24173
1567000,24179
1568000,24185
1569000,24189
1570000,24202
1571000,24206
1572000,24214
1573000,24219
1574000,24223
1575000,24230
1576000,24233
1577000,24236
1578000,24239
1579000,24244
1580000,24250
1581000,24256
1582000,24261
1583000,24270
1584000,24277
1585000,24285
1586000,24292
1587000,24299
1588000,24311
1589000,24315
1590000,24321
1591000,24324
1592000,24328
1593000,24337
1594000,24346
1595000,24349
1596000,24355
1597000,24360
1598000,24364
1599000,24367
1600000,24370
1601000,24378
1602000,24379
1603000,24381
1604000,24383
1605000,24386
1606000,24387
1607000,24391
1608000,24395
1609000,24401
1610000,24407
1611000,24418
1612000,24423
1613000,24430
1614000,24433
1615000,24435
1616000,24439
1617000,24450
1618000,24452
1619000,24457
1620000,24469
1621000,24480
1622000,24486
1623000,24492
1624000,24496
1625000,24502
1626000,24510
1627000,24514
1628000,24520
1629000,24522
1630000,24524
1631000,24530
1632000,24539
1633000,24540
1634000,24545
1635000,24552
1636000,24561
1637000,24564
1638000,24570
1639000,24572
1640000,24574
1641000,24576
1642000,24577
1643000,24583
1644000,24585
1645000,24588
1646000,24593
1647000,24599
1648000,24601
1649000,24605
1650000,24609
1651000,24617
1652000,24618
1653000,24629
1654000,24633
1655000,24638
1656000,24644
1657000,24649
1658000,24649
1659000,24653
1660000,24660
1661000,24661
1662000,24665
1663000,24669
1664000,24673
1665000,24679
1666000,24684
1667000,24687
1668000,24693
1669000,24699
1670000,24704
1671000,24708
1672000,24713
1673000,24719
1674000,24723
1675000,24732
1676000,24736
1677000,24740
1678000,24744
1679000,24748
1680000,24754
1681000,24762
1682000,24766
1683000,24766
1684000,24766
1685000,24768
1686000,24770
1687000,24777
1688000,24784
1689000,24789
1690000,24792
1691000,24795
1692000,24800
1693000,24806
1694000,24816
1695000,24825
1696000,24831
1697000,24838
1698000,24840
1699000,24841
1700000,24851
1701000,24862
1702000,24868
1703000,24872
1704000,24877
1705000,24886
1706000,24889
1707000,24897
1708000,24906
1709000,24914
1710000,24919
1711000,24924
1712000,24935
1713000,24942
1714000,24945
1715000,24951
1716000,24957
1717000,24963
1718000,24967
1719000,24971
1720000,24973
1721000,24978
1722000,24980
1723000,24989
1724000,24994
1725000,25002
1726000,25002
1727000,25006
1728000,25009
1729000,25013
1730000,25021
1731000,25027
1732000,25036
1733000,25037
1734000,25044
1735000,25045
1736000,25053
1737000,25055
1738000,25057
1739000,25061
1740000,25067
1741000,25073
1742000,25077
1743000,25080
1744000,25088
1745000,25090
1746000,25098
1747000,25098
1748000,25100
1749000,25106
1750000,25110
1751000,25114
1752000,25118
1753000,25120
1754000,25121
1755000,25123
1756000,25125
1757000,25131
1758000,25137
1759000,25141
1760000,25148
1761000,25152
1762000,25156
1763000,25160
1764000,25169
1765000,25174
1766000,25181
1767000,25183
1768000,25184
1769000,25192
1770000,25200
1771000,25206
1772000,25210
1773000,25213
1774000,25214
1775000,25220
1776000,25223
1777000,25228
1778000,25233
1779000,25234
1780000,25238
1781000,25242
1782000,25245
1783000,25258
1784000,25265
1785000,25265
1786000,25282
1787000,25291
1788000,25293
1789000,25300
1790000,25303
1791000,25305
1792000,25306
